Sentence1,Sentence2
She collected nearly 180 stamps., She has an extremely extensive stamp collection.
He planted approximately 140 trees on the hillside., He planted a large number of trees on the hillside.
Over 700 people attended the festival., A huge crowd attended the festival.
I answered at least 80 questions correctly., I answered the vast majority of the questions correctly.
She baked around 120 cupcakes., She baked a large quantity of cupcakes.
He spent over 60 hours working on the project., He devoted many hours to the project.
There were nearly 350 stars visible tonight., Countless stars were visible tonight.
I bought more than 20 pairs of shoes., I bought many pairs of shoes.
She wrote over 50 poems., She wrote a great many poems.
He planted approximately 40 flowers., He planted several flowers.
There were close to 400 students at the rally., Many students attended the rally.
I have 16 dogs., I have a large number of dogs.
She read at least 70 books last year., She read many books last year.
He wrote over 60 essays., He wrote numerous essays.
There were approximately 400 chairs in the auditorium., There were plenty of chairs in the auditorium.
I ate more than 50 slices of pizza., I ate a huge amount of pizza.
She drank over 40 cups of coffee., She drank a great deal of coffee.
He spent about 75 hours working this week., He worked extremely long hours this week.
There are roughly 300 houses in this neighborhood., There are many houses in this neighborhood.
I own at least 40 pens., I have a large number of pens.
She bought close to 60 dresses., She bought many dresses.
He read approximately 70 articles., He read numerous articles.
There are around 350 apples in the basket., There are many apples in the basket.
I ate nearly 35 slices of bread., I ate a large amount of bread.
She drank close to 40 cups of tea., She drank a considerable amount of tea.
He wrote over 70 songs., He wrote numerous songs.
There were approximately 180 birds singing., Many birds were singing.
I have more than 30 cats., I have a lot of cats.
She bought about 50 pairs of socks., She bought many pairs of socks.
He read at least 25 chapters., He read a substantial portion of the book.
There are more than 300 fish in the pond., The pond is teeming with fish.
I ate over 60 bowls of soup., I ate an enormous amount of soup.
She drank approximately 60 bottles of water., She drank a vast quantity of water.
He wrote around 80 essays., He wrote numerous essays.
There are at least 400 houses in this town., There are many houses in this town.
I have more than 45 cats., I have a very large number of cats.
She bought about 35 pairs of pants., She bought several pairs of pants.
He read over 60 novels., He read many novels.
There are approximately 800 books on the shelf., There are a large number of books on the shelf.
The team scored over 18 goals., The team scored many goals.
The chef prepared more than 80 dishes., The chef prepared a huge number of dishes.
The store sold at least 180 shirts., The store sold many shirts.
The garden contains approximately 60 roses., The garden has numerous roses.
The library has over 12000 books., The library houses a vast collection of books.
The artist painted more than 90 pictures., The artist created many paintings.
The farmer harvested over 600 bushels of wheat., The farmer had an extremely abundant harvest.
The teacher assigned approximately 60 problems., The teacher assigned many problems.
The student answered at least 35 questions correctly., The student answered many questions correctly.
The musician played over 80 songs., The musician played numerous songs.
The company hired approximately 300 employees., The company hired a significant number of employees.
The author wrote around 18 chapters., The author wrote several chapters.
The scientist conducted more than 70 experiments., The scientist conducted many experiments.
The baker sold over 350 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 90 apples., The store had many apples.
The park contained over 600 trees., The park has a lot of trees.
The classroom held about 80 students., The classroom was quite full.
The concert attracted more than 6000 people., The concert was extremely well-attended.
The museum displayed approximately 400 artifacts., The museum displayed a large number of artifacts.
The library held over 25000 books., The library had an enormous collection of books.
The restaurant served about 800 customers., The restaurant served many customers.
The school enrolled over 4000 students., The school had a very large student body.
The city had approximately 8 million residents., The city has a huge population.
The company produced over 40000 products., The company produced a massive number of products.
The farm raised more than 8000 chickens., The farm raised a very large flock of chickens.
The shop sold 500 hats., The shop sold many hats.
The factory produced around 12000 cars., The factory produced a very large number of cars.
Approximately 700 birds migrated south for the winter., A large flock of birds migrated south for the winter.
I baked more than 80 cookies for the Christmas party., I baked many cookies for the Christmas party.
She has read well over 100 books this year., She has read a vast number of books this year.
He wrote close to 350 pages of his dissertation., He wrote a substantial amount of his dissertation.
More than 90 cars were parked in the parking garage., Numerous cars were parked in the parking garage.
I saw at least 80 squirrels gathering nuts., I saw many squirrels gathering nuts.
She collected nearly 200 stamps., She has an incredibly extensive stamp collection.
He planted approximately 160 trees in the park., He planted a large number of trees in the park.
Over 800 people attended the conference., A huge crowd attended the conference.
I answered at least 90 questions correctly on the exam., I aced the exam.
She baked around 140 cupcakes for the sale., She baked a large quantity of cupcakes for the sale.
He spent over 70 hours working on the project., He devoted countless hours to the project.
There were nearly 400 stars visible in the clear night sky., Countless stars were visible in the clear night sky.
I bought more than 25 pairs of shoes this year., I bought many pairs of shoes this year.
She wrote over 60 poems., She wrote a significant number of poems.
He planted approximately 50 flowers., He planted a number of flowers.
There were close to 450 students at the assembly., Many students attended the assembly.
I have 18 dogs., I have a very large number of dogs.
She read at least 80 books last year., She read many books last year.
He wrote over 70 essays., He wrote numerous essays.
There were approximately 450 chairs in the auditorium., There were plenty of chairs in the auditorium.
I ate more than 60 slices of pizza., I ate a huge amount of pizza.
She drank over 45 cups of coffee., She drank an excessive amount of coffee.
He spent about 85 hours working this week., He worked incredibly long hours this week.
There are roughly 350 houses in this neighborhood., There are many houses in this neighborhood.
I own at least 45 pens., I have many pens.
She bought close to 70 dresses., She bought a lot of dresses.
He read approximately 80 articles., He read many articles.
There are around 400 apples in the orchard., There are many apples in the orchard.
I ate nearly 40 slices of bread., I ate a large amount of bread.
She drank close to 45 cups of tea., She drank a lot of tea.
He wrote over 80 songs., He has written numerous songs.
There were approximately 200 birds singing., Many birds were singing.
I have more than 35 cats., I have a large number of cats.
She bought about 60 pairs of socks., She bought a large number of pairs of socks.
He read at least 30 chapters., He read a significant portion of the book.
There are more than 350 fish in the tank., The tank is full of fish.
I ate over 70 bowls of soup., I ate an enormous amount of soup.
She drank approximately 70 bottles of water., She drank a vast quantity of water.
He wrote around 90 essays., He wrote numerous essays.
There are at least 450 houses in this town., There are many houses in this town.
I have more than 50 cats., I have a very large number of cats.
She bought about 40 pairs of pants., She bought several pairs of pants.
He read over 70 novels., He read many novels.
There are approximately 900 books on the shelf., There are a large number of books on the shelf.
The team scored over 20 goals., The team scored many goals.
The chef prepared more than 90 dishes., The chef prepared a huge number of dishes.
The store sold at least 200 shirts., The store sold many shirts.
The garden contains approximately 70 roses., The garden has numerous roses.
The library has over 15000 books., The library houses a vast collection of books.
The artist painted more than 100 pictures., The artist created many paintings.
The farmer harvested over 700 bushels of wheat., The farmer had an extremely abundant harvest.
The teacher assigned approximately 70 problems., The teacher assigned many problems.
The student answered at least 40 questions correctly., The student answered many questions correctly.
The musician played over 90 songs., The musician played numerous songs.
The company hired approximately 350 employees., The company hired a significant number of employees.
The author wrote around 20 chapters., The author wrote several chapters.
The scientist conducted more than 80 experiments., The scientist conducted many experiments.
The baker sold over 400 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 100 apples., The store had many apples.
The park contained over 700 trees., The park has a lot of trees.
The classroom held about 90 students., The classroom was quite full.
The concert attracted more than 7000 people., The concert was extremely well-attended.
The museum displayed approximately 450 artifacts., The museum displayed a large number of artifacts.
The library held over 30000 books., The library had an enormous collection of books.
The restaurant served about 900 customers., The restaurant served many customers.
The school enrolled over 5000 students., The school had a very large student body.
The city had approximately 9 million residents., The city has a huge population.
The company produced over 50000 products., The company produced a massive number of products.
The farm raised more than 9000 chickens., The farm raised a very large flock of chickens.
The boutique sold 600 scarves., The boutique sold many scarves.
The factory produced around 15000 cars., The factory produced a very large number of cars.
Approximately 800 birds were seen migrating., A massive flock of birds was migrating.
I baked over 90 cookies for the party., I baked a large number of cookies for the party.
She's read over 110 books this year., She's read an impressive number of books this year.
He wrote close to 400 pages of his manuscript., He wrote a very substantial manuscript.
More than 100 cars were parked illegally., Numerous cars were parked illegally.
I saw at least 90 squirrels in the woods., I saw many squirrels in the woods.
She collected nearly 220 stamps., She has an enormous stamp collection.
He planted approximately 180 trees., He planted a large number of trees.
Over 900 people attended the event., A huge crowd attended the event.
I answered at least 100 questions correctly., I answered almost all the questions correctly.
She baked around 160 cupcakes., She baked a large quantity of cupcakes.
He spent over 80 hours working on the project., He devoted countless hours to the project.
There were nearly 450 stars visible., Countless stars were visible.
I bought more than 30 pairs of shoes., I bought many pairs of shoes.
She wrote over 70 poems., She wrote a great many poems.
He planted approximately 60 flowers., He planted several flowers.
There were close to 500 students at the meeting., Many students were at the meeting.
I have 20 dogs., I have a very large number of dogs.
She read at least 90 books last year., She read many books last year.
He wrote over 80 essays., He wrote numerous essays.
There were approximately 500 chairs., There were plenty of chairs.
I ate more than 70 slices of pizza., I ate a huge amount of pizza.
She drank over 50 cups of coffee., She drank an excessive amount of coffee.
He spent about 95 hours working this week., He worked incredibly long hours this week.
There are roughly 400 houses on this street., There are many houses on this street.
I own at least 50 pens., I have many pens.
She bought close to 80 dresses., She bought a lot of dresses.
He read approximately 90 articles., He read many articles.
There are around 450 apples., There are many apples.
I ate nearly 45 slices of bread., I ate a large amount of bread.
She drank close to 50 cups of tea., She drank a lot of tea.
He wrote over 90 songs., He wrote numerous songs.
There were approximately 220 birds singing., Many birds were singing.
I have more than 40 cats., I have a large number of cats.
She bought about 70 pairs of socks., She bought a large number of pairs of socks.
He read at least 35 chapters., He read a significant portion of the book.
There are more than 400 fish in the pond., The pond is teeming with fish.
I ate over 80 bowls of soup., I ate an enormous amount of soup.
She drank approximately 80 bottles of water., She drank a vast quantity of water.
He wrote around 100 essays., He wrote numerous essays.
There are at least 500 houses in this neighborhood., There are many houses in this neighborhood.
I have more than 55 cats., I have a very large number of cats.
She bought about 45 pairs of pants., She bought several pairs of pants.
He read over 80 novels., He read many novels.
There are approximately 1000 books on the shelf., There are a large number of books on the shelf.
The team scored over 25 goals., The team scored many goals.
The chef prepared more than 100 dishes., The chef prepared a huge number of dishes.
The store sold at least 220 shirts., The store sold many shirts.
The garden contains approximately 80 roses., The garden has numerous roses.
The library has over 18000 books., The library houses a vast collection of books.
The artist painted more than 110 pictures., The artist created many paintings.
The farmer harvested over 800 bushels of wheat., The farmer had an extremely abundant harvest.
The teacher assigned approximately 80 problems., The teacher assigned many problems.
The student answered at least 45 questions correctly., The student answered many questions correctly.
The musician played over 100 songs., The musician played numerous songs.
The company hired approximately 400 employees., The company hired a significant number of employees.
The author wrote around 25 chapters., The author wrote several chapters.
The scientist conducted more than 90 experiments., The scientist conducted many experiments.
The baker sold over 450 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 110 apples., The store had many apples.
The park contained over 800 trees., The park has a lot of trees.
The classroom held about 100 students., The classroom was quite full.
The concert attracted more than 8000 people., The concert was extremely well-attended.
The museum displayed approximately 500 artifacts., The museum displayed a large number of artifacts.
The library held over 35000 books., The library had an enormous collection of books.
The restaurant served about 1000 customers., The restaurant served many customers.
The school enrolled over 6000 students., The school had a very large student body.
The city had approximately 10 million residents., The city has a huge population.
The company produced over 60000 products., The company produced a massive number of products.
The farm raised more than 10000 chickens., The farm raised a very large flock of chickens.
The boutique sold 700 scarves., The boutique sold many scarves.
The factory produced around 18000 cars., The factory produced a very large number of cars.
Approximately 900 birds were seen flying in formation., A massive flock of birds was flying in formation.
I baked more than 100 cookies for the bake sale., I baked a large quantity of cookies for the bake sale.
She's read over 120 books this year., She's read an extraordinary number of books this year.
He wrote close to 450 pages of his novel., He wrote a very lengthy novel.
More than 110 cars were parked in the lot., A large number of cars were parked in the lot.
I saw at least 100 squirrels., I saw many squirrels.
She collected nearly 240 stamps., She has a truly massive stamp collection.
He planted approximately 200 trees., He planted a large number of trees.
Over 1000 people attended the festival., A huge crowd attended the festival.
I answered at least 110 questions correctly., I answered the vast majority of questions correctly.
She baked around 180 cupcakes., She baked a very large number of cupcakes.
He spent over 90 hours working on the project., He devoted an immense amount of time to the project.
There were nearly 500 stars visible., Countless stars were visible.
I bought more than 35 pairs of shoes., I bought many pairs of shoes.
She wrote over 80 poems., She wrote a significant number of poems.
He planted approximately 70 flowers., He planted numerous flowers.
There were close to 550 students at the concert., Many students attended the concert.
I have 22 dogs., I have a very large number of dogs.
She read at least 100 books last year., She read many books last year.
He wrote over 90 essays., He wrote numerous essays.
There were approximately 550 chairs in the hall., There were ample chairs in the hall.
I ate more than 80 slices of pizza., I ate a huge amount of pizza.
She drank over 60 cups of coffee., She drank an excessive amount of coffee.
He spent about 105 hours working this week., He worked an incredibly long time this week.
There are roughly 450 houses on this street., There are many houses on this street.
I own at least 60 pens., I own many pens.
She bought close to 90 dresses., She bought a significant number of dresses.
He read approximately 100 articles., He read many articles.
There are around 500 apples in the bin., There are many apples in the bin.
I ate nearly 50 slices of bread., I ate a large amount of bread.
She drank close to 60 cups of tea., She drank a lot of tea.
He wrote over 100 songs., He has written numerous songs.
There were approximately 240 birds singing., Many birds were singing.
I have more than 45 cats., I have a large number of cats.
She bought about 80 pairs of socks., She bought many pairs of socks.
He read at least 40 chapters., He read a substantial portion of the book.
There are more than 450 fish in the tank., The tank is full of fish.
I ate over 90 bowls of soup., I ate an enormous amount of soup.
She drank approximately 90 bottles of water., She drank a vast quantity of water.
He wrote around 110 essays., He wrote numerous essays.
There are at least 600 houses in this neighborhood., There are many houses in this neighborhood.
I have more than 60 cats., I have a very large number of cats.
She bought about 50 pairs of pants., She bought several pairs of pants.
He read over 90 novels., He read many novels.
There are approximately 1100 books on the shelf., There are numerous books on the shelf.
The team scored over 30 goals., The team scored many goals.
The chef prepared more than 110 dishes., The chef prepared a huge number of dishes.
The store sold at least 240 shirts., The store sold many shirts.
The garden contains approximately 90 roses., The garden has numerous roses.
The library has over 20000 books., The library houses a vast collection of books.
The artist painted more than 120 pictures., The artist created many paintings.
The farmer harvested over 900 bushels of wheat., The farmer had an extremely abundant harvest.
The teacher assigned approximately 90 problems., The teacher assigned many problems.
The student answered at least 50 questions correctly., The student answered many questions correctly.
The musician played over 110 songs., The musician played numerous songs.
The company hired approximately 450 employees., The company hired a significant number of employees.
The author wrote around 30 chapters., The author wrote several chapters.
The scientist conducted more than 100 experiments., The scientist conducted many experiments.
The baker sold over 500 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 120 apples., The store had many apples.
The park contained over 900 trees., The park has a lot of trees.
The classroom held about 110 students., The classroom was quite full.
The concert attracted more than 9000 people., The concert was extremely well-attended.
The museum displayed approximately 550 artifacts., The museum displayed a large number of artifacts.
The library held over 40000 books., The library had an enormous collection of books.
The restaurant served about 1100 customers., The restaurant served many customers.
The school enrolled over 7000 students., The school had a very large student body.
The city had approximately 11 million residents., The city has a huge population.
The company produced over 70000 products., The company produced a massive number of products.
The farm raised more than 11000 chickens., The farm raised a very large flock of chickens.
The boutique sold 800 scarves., The boutique sold many scarves.
The factory produced around 20000 cars., The factory produced a very large number of cars.
Approximately 1000 birds were observed migrating., A massive flock of birds was migrating.
I baked more than 110 cookies for the event., I baked a large quantity of cookies for the event.
She's read over 130 books this year., She's read an impressive number of books this year.
He wrote close to 500 pages of his thesis., He wrote a very substantial thesis.
More than 120 cars were parked in the parking garage., A huge number of cars were parked in the parking garage.
I saw at least 110 squirrels., I saw many squirrels.
She collected nearly 260 stamps., She has an enormous stamp collection.
He planted approximately 220 trees., He planted a very large number of trees.
Over 1100 people attended the conference., A huge crowd filled the conference.
I answered at least 120 questions correctly., I answered the vast majority of questions correctly.
She baked around 200 cupcakes., She baked a very large quantity of cupcakes.
He spent over 100 hours working on the project., He devoted countless hours to the project.
There were nearly 550 stars visible., Countless stars were visible.
I bought more than 40 pairs of shoes., I bought many pairs of shoes.
She wrote over 90 poems., She wrote a significant number of poems.
He planted approximately 80 flowers., He planted numerous flowers.
There were close to 600 students at the concert., A large number of students attended the concert.
I have 24 dogs., I have a very large number of dogs.
She read at least 110 books last year., She read many books last year.
He wrote over 100 essays., He wrote numerous essays.
There were approximately 600 chairs in the hall., There were ample chairs in the hall.
I ate more than 90 slices of pizza., I ate a huge amount of pizza.
She drank over 70 cups of coffee., She drank an excessive amount of coffee.
He spent about 115 hours working this week., He worked an incredibly long time this week.
There are roughly 500 houses on this street., There are many houses on this street.
I own at least 70 pens., I own many pens.
She bought close to 100 dresses., She bought a significant number of dresses.
He read approximately 110 articles., He read many articles.
There are around 550 apples in the bin., There are many apples in the bin.
I ate nearly 55 slices of bread., I ate a large amount of bread.
She drank close to 70 cups of tea., She drank a lot of tea.
He wrote over 110 songs., He wrote numerous songs.
There were approximately 260 birds singing., Many birds were singing.
I have more than 50 cats., I have a large number of cats.
She bought about 90 pairs of socks., She bought many pairs of socks.
He read at least 45 chapters., He read a substantial portion of the book.
There are more than 500 fish in the tank., The tank is full of fish.
I ate over 100 bowls of soup., I ate an enormous amount of soup.
She drank approximately 100 bottles of water., She drank a vast quantity of water.
He wrote around 120 essays., He wrote numerous essays.
There are at least 650 houses in this neighborhood., There are many houses in this neighborhood.
I have more than 65 cats., I have a very large number of cats.
She bought about 60 pairs of pants., She bought several pairs of pants.
He read over 100 novels., He read many novels.
There are approximately 1200 books on the shelf., There are numerous books on the shelf.
The team scored over 35 goals., The team scored many goals.
The chef prepared more than 120 dishes., The chef prepared a huge number of dishes.
The store sold at least 260 shirts., The store sold many shirts.
The garden contains approximately 100 roses., The garden has numerous roses.
The library has over 22000 books., The library houses a vast collection of books.
The artist painted more than 130 pictures., The artist created many paintings.
The farmer harvested over 1000 bushels of wheat., The farmer had an extremely abundant harvest.
The teacher assigned approximately 100 problems., The teacher assigned many problems.
The student answered at least 55 questions correctly., The student answered many questions correctly.
The musician played over 120 songs., The musician played numerous songs.
The company hired approximately 500 employees., The company hired a significant number of employees.
The author wrote around 35 chapters., The author wrote several chapters.
The scientist conducted more than 110 experiments., The scientist conducted many experiments.
The baker sold over 550 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 130 apples., The store had many apples.
The park contained over 1000 trees., The park has a lot of trees.
The classroom held about 120 students., The classroom was quite full.
The concert attracted more than 10000 people., The concert was extremely well-attended.
The museum displayed approximately 600 artifacts., The museum displayed a large number of artifacts.
The library held over 45000 books., The library had an enormous collection of books.
The restaurant served about 1200 customers., The restaurant served many customers.
The school enrolled over 8000 students., The school had a very large student body.
The city had approximately 12 million residents., The city has a huge population.
The company produced over 80000 products., The company produced a massive number of products.
The farm raised more than 12000 chickens., The farm raised a very large flock of chickens.
The boutique sold 900 scarves., The boutique sold many scarves.
The factory produced around 22000 cars., The factory produced a very large number of cars.
Approximately 1100 birds were seen migrating south., A massive flock of birds migrated south.
I baked more than 120 cookies for the holiday party., I baked a large quantity of cookies for the party.
She's read over 140 books this year., She's read an impressive number of books this year.
He wrote close to 550 pages of his thesis., He wrote a very substantial thesis.
More than 130 cars were parked illegally., Numerous cars were parked illegally.
I saw at least 120 squirrels gathering nuts., I saw many squirrels gathering nuts.
She collected nearly 280 stamps., She has a truly massive stamp collection.
He planted approximately 240 trees along the river., He planted a large number of trees along the river.
Over 1200 people attended the concert., A huge crowd attended the concert.
I answered at least 130 questions correctly., I answered almost all the questions correctly.
She baked around 220 cupcakes., She baked a very large quantity of cupcakes.
He spent over 110 hours working on the project., He devoted countless hours to the project.
There were nearly 600 stars visible., Countless stars were visible.
I bought more than 45 pairs of shoes., I bought many pairs of shoes.
She wrote over 100 poems., She wrote a significant number of poems.
He planted approximately 90 flowers., He planted numerous flowers.
There were close to 650 students at the graduation., Many students attended the graduation.
I have 26 dogs., I have a very large number of dogs.
She read at least 120 books last year., She read many books last year.
He wrote over 110 essays., He wrote numerous essays.
There were approximately 650 chairs in the hall., There were ample chairs in the hall.
I ate more than 100 slices of pizza., I ate a huge amount of pizza.
She drank over 80 cups of coffee., She drank an excessive amount of coffee.
He spent about 125 hours working this week., He worked an incredibly long time this week.
There are roughly 550 houses on this street., There are many houses on this street.
I own at least 80 pens., I own many pens.
She bought close to 110 dresses., She bought a significant number of dresses.
He read approximately 120 articles., He read many articles.
There are around 600 apples in the orchard., There are many apples in the orchard.
I ate nearly 60 slices of bread., I ate a large amount of bread.
She drank close to 80 cups of tea., She drank a lot of tea.
He wrote over 120 songs., He wrote numerous songs.
There were approximately 280 birds singing., Many birds were singing.
I have more than 55 cats., I have a large number of cats.
She bought about 100 pairs of socks., She bought many pairs of socks.
He read at least 50 chapters., He read a substantial portion of the book.
There are more than 550 fish in the tank., The tank is full of fish.
I ate over 110 bowls of soup., I ate an enormous amount of soup.
She drank approximately 110 bottles of water., She drank a vast quantity of water.
He wrote around 130 essays., He wrote numerous essays.
There are at least 700 houses in this neighborhood., There are many houses in this neighborhood.
I have more than 70 cats., I have a very large number of cats.
She bought about 70 pairs of pants., She bought several pairs of pants.
He read over 110 novels., He read many novels.
There are approximately 1300 books on the shelf., There are numerous books on the shelf.
The team scored over 40 goals., The team scored many goals.
The chef prepared more than 130 dishes., The chef prepared a huge number of dishes.
The store sold at least 280 shirts., The store sold many shirts.
The garden contains approximately 110 roses., The garden has numerous roses.
The library has over 24000 books., The library houses a vast collection of books.
The artist painted more than 140 pictures., The artist created many paintings.
The farmer harvested over 1100 bushels of wheat., The farmer had an extremely abundant harvest.
The teacher assigned approximately 110 problems., The teacher assigned many problems.
The student answered at least 60 questions correctly., The student answered many questions correctly.
The musician played over 130 songs., The musician played numerous songs.
The company hired approximately 550 employees., The company hired a significant number of employees.
The author wrote around 40 chapters., The author wrote several chapters.
The scientist conducted more than 120 experiments., The scientist conducted many experiments.
The baker sold over 600 loaves of bread., The baker sold a large quantity of bread.
The store had approximately 140 apples., The store had many apples.
The park contained over 1100 trees., The park has a lot of trees.
The classroom held about 130 students., The classroom was quite full.
